KAFKA-16084_G5,>=5
KAFKA-16084_G5,Assigned
KAFKA-16084_G5,Minor
KAFKA-16084_G5,Resolved
KAFKA-16085_G0,Fresh
KAFKA-16085_G0,Weekday
KAFKA-16085_G0,>=0
KAFKA-16085_G0,Assigned
KAFKA-16085_G0,Major
KAFKA-16085_G0,Open
KAFKA-16085_G1,Medium
KAFKA-16085_G1,Weekend
KAFKA-16085_G1,Weekday
KAFKA-16085_G1,>=1
KAFKA-16085_G1,Assigned
KAFKA-16085_G1,Major
KAFKA-16085_G1,Resolved
KAFKA-16086_G0,Fresh
KAFKA-16086_G0,Weekday
KAFKA-16086_G0,>=0
KAFKA-16086_G0,Assigned
KAFKA-16086_G0,Critical
KAFKA-16086_G0,Open
KAFKA-16086_G1,Fresh
KAFKA-16086_G1,Weekday
KAFKA-16086_G1,>=1
KAFKA-16086_G1,Assigned
KAFKA-16086_G1,Critical
KAFKA-16086_G1,Patch Available
KAFKA-16086_G2,Fresh
KAFKA-16086_G2,Weekday
KAFKA-16086_G2,>=2
KAFKA-16086_G2,Assigned
KAFKA-16086_G2,Critical
KAFKA-16086_G2,Resolved
KAFKA-16087_G0,Fresh
KAFKA-16087_G0,Weekday
KAFKA-16087_G0,>=0
KAFKA-16087_G0,Assigned
KAFKA-16087_G0,Major
KAFKA-16087_G0,Open
KAFKA-16087_G1,Medium
KAFKA-16087_G1,Weekday
KAFKA-16087_G1,>=1
KAFKA-16087_G1,Assigned
KAFKA-16087_G1,Major
KAFKA-16087_G1,Resolved
KAFKA-16088_G0,Fresh
KAFKA-16088_G0,Weekend
KAFKA-16088_G0,Weekday
KAFKA-16088_G0,>=0
KAFKA-16088_G0,Assigned
KAFKA-16088_G0,Critical
KAFKA-16088_G0,Open
KAFKA-16089_G0,Fresh
KAFKA-16089_G0,Weekday
KAFKA-16089_G0,>=0
KAFKA-16089_G0,Assigned
KAFKA-16089_G0,Critical
KAFKA-16089_G0,Open
KAFKA-16089_G1,Short
KAFKA-16089_G1,Weekday
KAFKA-16089_G1,>=1
KAFKA-16089_G1,Assigned
KAFKA-16089_G1,Critical
KAFKA-16089_G1,Patch Available
KAFKA-16089_G2,Short
KAFKA-16089_G2,Weekday
KAFKA-16089_G2,>=2
KAFKA-16089_G2,Assigned
KAFKA-16089_G2,Critical
KAFKA-16089_G2,Resolved
KAFKA-16090_G0,Fresh
KAFKA-16090_G0,Weekday
KAFKA-16090_G0,>=0
KAFKA-16090_G0,Assigned
KAFKA-16090_G0,Major
KAFKA-16090_G0,Open
KAFKA-16091_G0,Fresh
KAFKA-16091_G0,Weekday
KAFKA-16091_G0,>=0
KAFKA-16091_G0,Assigned
KAFKA-16091_G0,Major
KAFKA-16091_G0,Open
KAFKA-16092_G0,Fresh
KAFKA-16092_G0,Weekday
KAFKA-16092_G0,>=0
KAFKA-16092_G0,Assigned
KAFKA-16092_G0,Major
KAFKA-16092_G0,Open
KAFKA-16092_G1,Long
KAFKA-16092_G1,Weekday
KAFKA-16092_G1,>=1
KAFKA-16092_G1,Assigned
KAFKA-16092_G1,Major
KAFKA-16092_G1,In Progress
KAFKA-16093_G0,Fresh
KAFKA-16093_G0,Weekday
KAFKA-16093_G0,>=0
KAFKA-16093_G0,Assigned
KAFKA-16093_G0,Minor
KAFKA-16093_G0,Open
KAFKA-16093_G1,Fresh
KAFKA-16093_G1,Weekday
KAFKA-16093_G1,>=1
KAFKA-16093_G1,Assigned
KAFKA-16093_G1,Minor
KAFKA-16093_G1,In Progress
KAFKA-16093_G2,Fresh
KAFKA-16093_G2,Weekday
KAFKA-16093_G2,>=2
KAFKA-16093_G2,Assigned
KAFKA-16093_G2,Minor
KAFKA-16093_G2,Patch Available
KAFKA-16093_G3,Fresh
KAFKA-16093_G3,Weekday
KAFKA-16093_G3,>=3
KAFKA-16093_G3,Assigned
KAFKA-16093_G3,Minor
KAFKA-16093_G3,Resolved
KAFKA-16094_G0,Fresh
KAFKA-16094_G0,Weekday
KAFKA-16094_G0,>=0
KAFKA-16094_G0,Assigned
KAFKA-16094_G0,Critical
KAFKA-16094_G0,Open
KAFKA-16094_G1,Fresh
KAFKA-16094_G1,Weekday
KAFKA-16094_G1,>=1
KAFKA-16094_G1,Assigned
KAFKA-16094_G1,Critical
KAFKA-16094_G1,Resolved
KAFKA-16095_G0,Fresh
KAFKA-16095_G0,Weekday
KAFKA-16095_G0,>=0
KAFKA-16095_G0,Assigned
KAFKA-16095_G0,Minor
KAFKA-16095_G0,Open
KAFKA-16095_G1,Medium
KAFKA-16095_G1,Weekday
KAFKA-16095_G1,>=1
KAFKA-16095_G1,Assigned
KAFKA-16095_G1,Minor
KAFKA-16095_G1,Resolved
KAFKA-16096_G0,Fresh
KAFKA-16096_G0,Weekday
KAFKA-16096_G0,>=0
KAFKA-16096_G0,Assigned
KAFKA-16096_G0,Major
KAFKA-16096_G0,Open
KAFKA-16097_G0,Fresh
KAFKA-16097_G0,Weekday
KAFKA-16097_G0,>=0
KAFKA-16097_G0,Assigned
KAFKA-16097_G0,Major
KAFKA-16097_G0,Open
KAFKA-16097_G1,Fresh
KAFKA-16097_G1,Weekday
KAFKA-16097_G1,>=1
KAFKA-16097_G1,Assigned
KAFKA-16097_G1,Major
KAFKA-16097_G1,Resolved
KAFKA-16098_G0,Fresh
KAFKA-16098_G0,Weekday
KAFKA-16098_G0,>=0
KAFKA-16098_G0,Assigned
KAFKA-16098_G0,Major
KAFKA-16098_G0,Open
KAFKA-16098_G1,Fresh
KAFKA-16098_G1,Weekday
KAFKA-16098_G1,>=1
KAFKA-16098_G1,Assigned
KAFKA-16098_G1,Major
KAFKA-16098_G1,In Progress
