project,_id,key,issuetype_name,priority_name,status_name,age_days,watch_count,votes_count,has_assignee,components_count,comment_count,status_changes_count
FLINK,13584154,FLINK-35720,Bug,Critical,Closed,6,2,0,0,1,10,1
FLINK,13584156,FLINK-35721,Bug,Minor,Open,2,2,0,0,1,0,0
FLINK,13584166,FLINK-35722,Bug,Major,Open,0,1,0,0,1,1,0
FLINK,13584168,FLINK-35723,Sub-task,Major,Closed,0,1,0,1,1,1,1
FLINK,13584175,FLINK-35724,Bug,Critical,Open,0,1,0,0,1,0,0
FLINK,13584181,FLINK-35725,Sub-task,Major,Open,0,1,0,0,0,0,0
FLINK,13584183,FLINK-35726,Bug,Major,In Progress,24,5,0,1,1,5,1
FLINK,13584195,FLINK-35727,Bug,Critical,Resolved,65,3,0,1,1,9,1
FLINK,13584197,FLINK-35728,Bug,Major,Resolved,65,2,0,1,1,5,1
FLINK,13584199,FLINK-35729,Bug,Critical,Open,0,1,0,0,1,0,0
FLINK,13584241,FLINK-35730,New Feature,Major,Resolved,40,2,0,1,1,1,1
FLINK,13584266,FLINK-35731,Bug,Major,Closed,7,2,0,1,1,4,1
FLINK,13584291,FLINK-35732,Bug,Minor,Open,0,2,0,0,1,0,0
FLINK,13584312,FLINK-35733,Technical Debt,Minor,Resolved,63,2,0,1,0,2,1
FLINK,13584313,FLINK-35734,Sub-task,Major,Resolved,1,2,0,1,2,1,1
FLINK,13584338,FLINK-35735,Improvement,Major,Closed,63,1,0,1,1,1,1
FLINK,13584359,FLINK-35736,Improvement,Major,Resolved,28,2,0,1,1,1,1
FLINK,13584433,FLINK-35737,Bug,Critical,Open,21,1,0,0,1,0,0
FLINK,13584442,FLINK-35738,Sub-task,Major,Resolved,7,4,0,1,1,4,2
FLINK,13584453,FLINK-35739,New Feature,Major,Closed,62,4,0,1,2,0,2
FLINK,13584458,FLINK-35740,Improvement,Major,Resolved,22,3,0,1,1,4,1
FLINK,13584460,FLINK-35741,Improvement,Minor,Open,0,1,0,0,1,0,0
FLINK,13584498,FLINK-35742,Improvement,Major,Closed,0,3,0,1,1,1,2
FLINK,13584499,FLINK-35743,Bug,Major,Resolved,35,2,0,1,1,1,1
FLINK,13584516,FLINK-35744,Improvement,Major,Open,0,2,0,0,1,1,0
FLINK,13584564,FLINK-35745,Sub-task,Minor,Open,0,1,0,0,1,0,0
FLINK,13584574,FLINK-35746,Improvement,Major,Open,103,1,0,0,1,0,0
FLINK,13584581,FLINK-35747,Bug,Major,Closed,97,1,0,0,1,0,1
FLINK,13584584,FLINK-35748,Bug,Major,Open,0,1,0,0,1,0,0
FLINK,13584585,FLINK-35749,Bug,Blocker,Resolved,100,8,0,1,1,12,1
FLINK,13584604,FLINK-35750,Bug,Major,Resolved,11,2,0,1,1,4,1
FLINK,13584613,FLINK-35751,Sub-task,Major,Open,116,1,0,0,1,1,0
FLINK,13584614,FLINK-35752,Sub-task,Major,Open,0,1,0,0,1,1,0
FLINK,13584615,FLINK-35753,Bug,Major,Closed,6,3,0,0,2,6,1
FLINK,13584617,FLINK-35754,Bug,Major,Resolved,8,5,0,0,0,11,1
FLINK,13584621,FLINK-35755,Sub-task,Major,Closed,60,1,0,1,0,1,2
FLINK,13584689,FLINK-35756,Bug,Major,Open,0,1,0,0,1,0,0
FLINK,13584691,FLINK-35757,Improvement,Major,Open,119,1,0,0,1,1,0
FLINK,13584724,FLINK-35758,Improvement,Not a Priority,Resolved,12,2,0,1,1,1,1
FLINK,13584781,FLINK-35759,Improvement,Major,Open,62,2,0,1,1,2,0
FLINK,13584782,FLINK-35760,Improvement,Major,Open,62,3,0,1,1,2,0
FLINK,13584784,FLINK-35761,Improvement,Major,Open,0,4,0,1,1,0,0
FLINK,13584789,FLINK-35762,Improvement,Minor,Open,99,1,0,0,1,0,0
FLINK,13584795,FLINK-35763,Improvement,Major,Closed,0,2,0,0,0,1,1
FLINK,13584796,FLINK-35764,Bug,Major,Closed,98,1,0,1,1,3,1
FLINK,13584806,FLINK-35765,Improvement,Major,Closed,81,3,0,1,1,4,1
FLINK,13584811,FLINK-35766,Bug,Major,Closed,58,2,0,1,1,2,1
FLINK,13584841,FLINK-35767,Sub-task,Major,Closed,58,1,0,1,1,1,1
FLINK,13584842,FLINK-35768,Sub-task,Major,Closed,58,1,0,1,0,1,1
FLINK,13584847,FLINK-35769,Bug,Major,Open,4,1,0,1,1,0,0
FLINK,13584851,FLINK-35770,Sub-task,Major,Closed,58,1,0,1,0,1,2
FLINK,13584852,FLINK-35771,Sub-task,Major,Closed,58,1,0,1,0,1,2
FLINK,13584853,FLINK-35772,Sub-task,Major,Closed,58,1,0,1,0,1,1
FLINK,13584854,FLINK-35773,Sub-task,Major,Closed,53,1,0,1,0,1,1
FLINK,13584876,FLINK-35774,Bug,Major,Open,34,2,0,0,1,1,0
FLINK,13584900,FLINK-35775,Improvement,Major,Open,0,1,0,0,0,0,0
FLINK,13584916,FLINK-35776,Improvement,Major,Closed,16,1,0,1,1,1,2
FLINK,13584918,FLINK-35777,Improvement,Major,Closed,92,2,0,1,1,3,1
FLINK,13584919,FLINK-35778,Bug,Blocker,Resolved,1,2,0,1,1,1,1
